annotation_id,annotator,created_at,id,label,lead_time,text,updated_at
11124,1,2025-11-15T06:35:04.348335Z,1,"[{""start"":19,""end"":27,""text"":""Facebook"",""labels"":[""SERVICE""]},{""start"":194,""end"":202,""text"":""Facebook"",""labels"":[""SERVICE""]},{""start"":67,""end"":83,""text"":""privacy settings"",""labels"":[""FEATURE""]},{""start"":52,""end"":60,""text"":""Facebook"",""labels"":[""SERVICE""]}]",909.418,"How do I delete my Facebook account?. I don't trust Facebook's new privacy settings and have decided to delete my account, but I can't find the kill switch. Does anyone know how I can delete my Facebook account?",2025-11-15T06:53:22.948171Z
11125,1,2025-11-15T06:37:25.797289Z,2,"[{""start"":36,""end"":41,""text"":""Gmail"",""labels"":[""SERVICE""]},{""start"":84,""end"":89,""text"":""Gmail"",""labels"":[""SERVICE""]},{""start"":217,""end"":222,""text"":""Gmail"",""labels"":[""SERVICE""]}]",140.923,"How do I delete all my mail from my Gmail account?. I want to clear my mail from my Gmail account, but don't feel like selecting every message (also the archived ones). Is there an easy way to delete all my mail from Gmail without having to delete my account?",2025-11-15T06:37:25.797303Z
11126,1,2025-11-15T06:42:01.511668Z,3,"[{""start"":180,""end"":203,""text"":""Outlook (2010) settings"",""labels"":[""UI_ELEMENT""]},{""start"":14,""end"":29,""text"":""Google Calendar"",""labels"":[""SERVICE""]},{""start"":38,""end"":54,""text"":""Outlook Calendar"",""labels"":[""SERVICE""]},{""start"":72,""end"":79,""text"":""Outlook"",""labels"":[""APP""]},{""start"":262,""end"":277,""text"":""Google Calendar"",""labels"":[""SERVICE""]},{""start"":286,""end"":293,""text"":""Outlook"",""labels"":[""APP""]}]",275.204,"How do I sync Google Calendar with my Outlook Calendar?. At work we use Outlook, but I want an easy way to sync it with my private Google Calendar. However, I tried looking at the Outlook (2010) settings and couldn't find how to make a link. So how do I sync my Google Calendar with my Outlook one?",2025-11-15T06:42:01.511684Z
11127,1,2025-11-15T06:48:56.869658Z,5,"[{""start"":22,""end"":27,""text"":""Gmail"",""labels"":[""SERVICE""]},{""start"":241,""end"":246,""text"":""Gmail"",""labels"":[""SERVICE""]},{""start"":285,""end"":293,""text"":""settings"",""labels"":[""UI_ELEMENT""]}]",414.908,"Can I auto-forward my Gmail to another address?. I'm kind of paranoid about my email and I don't want it to be on Google's servers only. Especially after my account got hacked and all my email got deleted. So I would like to auto-forward my Gmail to another address, but are there any settings I have to enable?",2025-11-15T06:48:56.869682Z
11128,1,2025-11-15T06:51:19.401499Z,6,"[{""start"":57,""end"":66,""text"":""WordPress"",""labels"":[""APP""]},{""start"":130,""end"":139,""text"":""WordPress"",""labels"":[""APP""]},{""start"":46,""end"":53,""text"":""Blogger"",""labels"":[""SERVICE""]},{""start"":212,""end"":221,""text"":""WordPress"",""labels"":[""APP""]},{""start"":201,""end"":208,""text"":""Blogger"",""labels"":[""SERVICE""]},{""start"":95,""end"":102,""text"":""Blogger"",""labels"":[""SERVICE""]}]",142.051,"How do I transfer my blog posts from Google's Blogger to WordPress?. I have a blog on Google's Blogger, but now I want to move to WordPress. Is there an easy way to transfer all my old blog posts from Blogger to WordPress?",2025-11-15T06:51:19.401514Z
11129,1,2025-11-15T06:55:56.576340Z,8,"[{""start"":3,""end"":9,""text"":""Picasa"",""labels"":[""APP""]},{""start"":12,""end"":20,""text"":""face tag"",""labels"":[""FEATURE""]},{""start"":86,""end"":103,""text"":""Picasa Web Albums"",""labels"":[""SERVICE""]}]",152.028,"Is Picasa's face tag data stored in the photo itself?. I tagged all my contacts on my Picasa Web Albums, but I was wondering if this data is stored in the photo itself or would I have to retag every picture when I import them to my desktop or share them with someone else?",2025-11-15T06:55:56.576403Z
11130,1,2025-11-15T06:57:25.357882Z,9,,88.152,"How do I search within someone's tweets?. I remember Jeff Atwood ( @codinghorror ) had posted a tweet about a new website, but I can't seem to find the link. Is there any way I can search within someone's tweets to find that link?",2025-11-15T06:57:25.357897Z
11131,1,2025-11-15T06:58:46.795188Z,10,"[{""start"":36,""end"":43,""text"":""Twitter"",""labels"":[""SERVICE""]},{""start"":154,""end"":161,""text"":""Twitter"",""labels"":[""SERVICE""]}]",35.632,"How can I control who follows me on Twitter?. I tend to get a bunch of emails every week that say: JaneDoe (JaneDoe343) is now following
  your tweets on Twitter.is now
  following you. A little information about JaneDoe: 0 followers
1 tweet
following 483 people I prefer my followers to be real people, so is there any way I can control who follows me?",2025-11-15T06:58:46.795213Z
11132,1,2025-11-15T07:03:11.651298Z,12,"[{""start"":5,""end"":10,""text"":""Gmail"",""labels"":[""SERVICE""]},{""start"":12,""end"":20,""text"":""Settings"",""labels"":[""UI_ELEMENT""]},{""start"":23,""end"":46,""text"":""Forwarding and POP\/IMAP"",""labels"":[""UI_ELEMENT""]},{""start"":49,""end"":83,""text"":""Forward a copy of incoming mail to"",""labels"":[""UI_ELEMENT""]}]",264.388,In Gmail: Settings → Forwarding and POP/IMAP → Forward a copy of incoming mail to...,2025-11-15T07:03:11.651323Z
11133,1,2025-11-15T07:11:56.080620Z,15,"[{""start"":12,""end"":26,""text"":"" All mail view"",""labels"":[""UI_ELEMENT""]},{""start"":41,""end"":51,""text"":""Select all"",""labels"":[""UI_ELEMENT""]},{""start"":112,""end"":119,""text"":""Archive"",""labels"":[""UI_ELEMENT""]},{""start"":122,""end"":126,""text"":""Spam"",""labels"":[""UI_ELEMENT""]},{""start"":163,""end"":170,""text"":""Archive"",""labels"":[""UI_ELEMENT""]},{""start"":173,""end"":177,""text"":""Spam"",""labels"":[""UI_ELEMENT""]},{""start"":180,""end"":186,""text"":""Delete"",""labels"":[""UI_ELEMENT""]},{""start"":189,""end"":190,""text"":""+"",""labels"":[""UI_ELEMENT""]},{""start"":192,""end"":194,""text"":"" -"",""labels"":[""UI_ELEMENT""]},{""start"":197,""end"":211,""text"":""Move to Inbox "",""labels"":[""UI_ELEMENT""]},{""start"":213,""end"":219,""text"":""Labels"",""labels"":[""UI_ELEMENT""]},{""start"":222,""end"":226,""text"":""More"",""labels"":[""UI_ELEMENT""]},{""start"":379,""end"":387,""text"":""All Mail"",""labels"":[""UI_ELEMENT""]},{""start"":402,""end"":426,""text"":""Select all conversations"",""labels"":[""UI_ELEMENT""]},{""start"":497,""end"":505,""text"":""deletion"",""labels"":[""FEATURE""]},{""start"":586,""end"":591,""text"":""Gmail"",""labels"":[""SERVICE""]},{""start"":869,""end"":884,""text"":""empty the trash"",""labels"":[""FEATURE""]},{""start"":889,""end"":904,""text"":""delete all spam"",""labels"":[""FEATURE""]},{""start"":129,""end"":135,""text"":""Delete"",""labels"":[""UI_ELEMENT""]}]",513.675,"Go to your All mail view , 
and click ""Select all"" (or the drop down option All from the checkbox far left of Archive | Spam | Delete buttons). Underneath the | Archive | Spam | Delete | + | - | Move to Inbox | Labels | More |
buttons... 
You'll see a message appear in a yellow bar that says: All 100 conversations on this page are selected. Select all 73795 conversations in All Mail Click on the ""Select all conversations"" link on the right side of the message, then click delete. The actual deletion process may take a very, very long time, during which you will be unable to use Gmail or log in (don't worry, it's still churning away in the background, even if it gives you an error!) When it's done, all conversations (except spam) will be in the trash and you should see a message that says ""You don't have any mail! Our servers are feeling unloved."" Now just empty the trash and delete all spam, and your account is now empty.",2025-11-15T07:11:56.080640Z
11134,1,2025-11-15T07:13:08.107345Z,16,"[{""start"":14,""end"":22,""text"":""Facebook"",""labels"":[""SERVICE""]},{""start"":40,""end"":50,""text"":""Mafia Wars"",""labels"":[""APP""]},{""start"":68,""end"":76,""text"":""Facebook"",""labels"":[""SERVICE""]},{""start"":182,""end"":192,""text"":""Mafia Wars"",""labels"":[""APP""]},{""start"":239,""end"":249,""text"":""Mafia Wars"",""labels"":[""APP""]},{""start"":271,""end"":279,""text"":""Facebook"",""labels"":[""SERVICE""]}]",71.557,"How do I make Facebook block a friend’s Mafia Wars updates?. I like Facebook to connect with friends, but I don't like the way their favorite games spam me. They just keep giving me Mafia Wars updates! Is there any way to block a friend's Mafia Wars update? Or any other Facebook game for that matter.",2025-11-15T07:13:08.107361Z
11135,1,2025-11-15T07:22:57.263337Z,18,"[{""start"":4,""end"":10,""text"":""Google"",""labels"":[""SERVICE""]},{""start"":17,""end"":23,""text"":""OpenID"",""labels"":[""FEATURE""]},{""start"":84,""end"":90,""text"":""Google"",""labels"":[""SERVICE""]},{""start"":97,""end"":103,""text"":""OpenID"",""labels"":[""FEATURE""]},{""start"":170,""end"":176,""text"":""Google"",""labels"":[""SERVICE""]},{""start"":274,""end"":280,""text"":""Google"",""labels"":[""SERVICE""]},{""start"":486,""end"":492,""text"":""Google"",""labels"":[""SERVICE""]},{""start"":373,""end"":384,""text"":""remember me"",""labels"":[""FEATURE""]}]",588.709,"Use Google as an OpenID without logging into the rest of it?. Every time I login to Google as my OpenID I stay signed-in. This can get annoying as I feel safer searching Google without being logged-in, even if my dynamic IP is logged. Obviously I can just immediately go to Google and log-out, but as this is a pain, i'm hoping there's a better way. I know that unchecking remember me would stop it persisting across browser sessions, but I don't want to be logged-in when I next go to Google, whether in the same session or not.",2025-11-15T07:22:57.263402Z
11136,1,2025-11-15T07:23:37.395293Z,21,"[{""start"":35,""end"":42,""text"":""YouTube"",""labels"":[""SERVICE""]},{""start"":61,""end"":68,""text"":""YouTube"",""labels"":[""SERVICE""]},{""start"":166,""end"":173,""text"":""YouTube"",""labels"":[""SERVICE""]}]",39.568,"How can I upload videos > 15min to YouTube?. I see that some YouTube users have quite lengthy videos. But if I ever try to upload a video of length more than 15 min, YouTube stops me. How can I get more privileges in YouTube?",2025-11-15T07:23:37.395334Z
11137,1,2025-11-15T07:24:25.430612Z,22,"[{""start"":74,""end"":91,""text"":""Delete My Account"",""labels"":[""UI_ELEMENT""]},{""start"":192,""end"":200,""text"":""FACEBOOK"",""labels"":[""SERVICE""]}]",47.541,"from here : Go here: http://www.facebook.com/help/delete_account Click ""Delete My Account"" and follow the instructions. Your account will be deactivated for two weeks, and if you DO NOT USE FACEBOOK IN ANY WAY during that period, your account is permanently deleted.",2025-11-15T07:24:25.430645Z
11138,1,2025-11-15T07:26:26.627489Z,23,"[{""start"":58,""end"":71,""text"":""Google Search"",""labels"":[""SERVICE""]}]",120.708,"How can I search for a keyword with special characters in Google Search?. I want to search for what += means, but Google won't return any documents. Also when I come across some PHP code I don't understand I can't search for the keywords as written. How can I search for these special characters or include these special characters in a search.",2025-11-15T07:26:26.627508Z
11139,1,2025-11-15T07:27:38.995191Z,24,"[{""start"":100,""end"":108,""text"":""Settings"",""labels"":[""UI_ELEMENT""]},{""start"":112,""end"":129,""text"":""Protect my tweets"",""labels"":[""UI_ELEMENT""]},{""start"":112,""end"":129,""text"":""Protect my tweets"",""labels"":[""FEATURE""]}]",71.904,"Unless you want to make all your updates private, so that every follower will need your approval (Settings -> Protect my tweets), all you can do is manually block / report as spam them each time.",2025-11-15T07:27:38.995205Z
11140,1,2025-11-15T07:28:49.324336Z,25,"[{""start"":47,""end"":64,""text"":""Remember the Milk"",""labels"":[""APP""]},{""start"":67,""end"":84,""text"":""Remember the Milk"",""labels"":[""APP""]}]",69.838,"How can I automatically share certain tasks in Remember the Milk?. Remember the Milk makes it really easy to share individual tasks, but how can I make it automatically share certain groups of tasks (e.g., I'd like it to automatically share tasks tagged #groceries with my girlfriend).",2025-11-15T07:28:49.324375Z
