id,text
1,"How do I delete my Facebook account?. I don't trust Facebook's new privacy settings and have decided to delete my account, but I can't find the kill switch. Does anyone know how I can delete my Facebook account?"
2,"How do I delete all my mail from my Gmail account?. I want to clear my mail from my Gmail account, but don't feel like selecting every message (also the archived ones). Is there an easy way to delete all my mail from Gmail without having to delete my account?"
3,"How do I sync Google Calendar with my Outlook Calendar?. At work we use Outlook, but I want an easy way to sync it with my private Google Calendar. However, I tried looking at the Outlook (2010) settings and couldn't find how to make a link. So how do I sync my Google Calendar with my Outlook one?"
5,"Can I auto-forward my Gmail to another address?. I'm kind of paranoid about my email and I don't want it to be on Google's servers only. Especially after my account got hacked and all my email got deleted. So I would like to auto-forward my Gmail to another address, but are there any settings I have to enable?"
6,"How do I transfer my blog posts from Google's Blogger to WordPress?. I have a blog on Google's Blogger, but now I want to move to WordPress. Is there an easy way to transfer all my old blog posts from Blogger to WordPress?"
8,"Is Picasa's face tag data stored in the photo itself?. I tagged all my contacts on my Picasa Web Albums, but I was wondering if this data is stored in the photo itself or would I have to retag every picture when I import them to my desktop or share them with someone else?"
9,"How do I search within someone's tweets?. I remember Jeff Atwood ( @codinghorror ) had posted a tweet about a new website, but I can't seem to find the link. Is there any way I can search within someone's tweets to find that link?"
10,"How can I control who follows me on Twitter?. I tend to get a bunch of emails every week that say: JaneDoe (JaneDoe343) is now following
  your tweets on Twitter.is now
  following you. A little information about JaneDoe: 0 followers
1 tweet
following 483 people I prefer my followers to be real people, so is there any way I can control who follows me?"
12,In Gmail: Settings → Forwarding and POP/IMAP → Forward a copy of incoming mail to...
15,"Go to your All mail view , 
and click ""Select all"" (or the drop down option All from the checkbox far left of Archive | Spam | Delete buttons). Underneath the | Archive | Spam | Delete | + | - | Move to Inbox | Labels | More |
buttons... 
You'll see a message appear in a yellow bar that says: All 100 conversations on this page are selected. Select all 73795 conversations in All Mail Click on the ""Select all conversations"" link on the right side of the message, then click delete. The actual deletion process may take a very, very long time, during which you will be unable to use Gmail or log in (don't worry, it's still churning away in the background, even if it gives you an error!) When it's done, all conversations (except spam) will be in the trash and you should see a message that says ""You don't have any mail! Our servers are feeling unloved."" Now just empty the trash and delete all spam, and your account is now empty."
16,"How do I make Facebook block a friend’s Mafia Wars updates?. I like Facebook to connect with friends, but I don't like the way their favorite games spam me. They just keep giving me Mafia Wars updates! Is there any way to block a friend's Mafia Wars update? Or any other Facebook game for that matter."
18,"Use Google as an OpenID without logging into the rest of it?. Every time I login to Google as my OpenID I stay signed-in. This can get annoying as I feel safer searching Google without being logged-in, even if my dynamic IP is logged. Obviously I can just immediately go to Google and log-out, but as this is a pain, i'm hoping there's a better way. I know that unchecking remember me would stop it persisting across browser sessions, but I don't want to be logged-in when I next go to Google, whether in the same session or not."
21,"How can I upload videos > 15min to YouTube?. I see that some YouTube users have quite lengthy videos. But if I ever try to upload a video of length more than 15 min, YouTube stops me. How can I get more privileges in YouTube?"
22,"from here : Go here: http://www.facebook.com/help/delete_account Click ""Delete My Account"" and follow the instructions. Your account will be deactivated for two weeks, and if you DO NOT USE FACEBOOK IN ANY WAY during that period, your account is permanently deleted."
23,"How can I search for a keyword with special characters in Google Search?. I want to search for what += means, but Google won't return any documents. Also when I come across some PHP code I don't understand I can't search for the keywords as written. How can I search for these special characters or include these special characters in a search."
24,"Unless you want to make all your updates private, so that every follower will need your approval (Settings -> Protect my tweets), all you can do is manually block / report as spam them each time."
25,"How can I automatically share certain tasks in Remember the Milk?. Remember the Milk makes it really easy to share individual tasks, but how can I make it automatically share certain groups of tasks (e.g., I'd like it to automatically share tasks tagged #groceries with my girlfriend)."
26,"You can't without becoming a partner. The upload limit on YouTube videos has been increased from 10 minutes to 15 minutes. One of the reasons we can increase the video time limit is that we've made incremental improvements to our Content ID technology that helps content owners manage their videos on YouTube. We look forward to increasing the upload limit as Content ID continues to evolve and become even more sophisticated. If you want to upload videos longer than 15 minutes, try another site such as Vimeo , Blip.tv or Viddler . You could also host it yourself using JWPlayer and a CDN such as CloudFront .  As Even Mien said in the comments, you could also see if you can become a partner."
27,"There are some options: You might want to make your account protected. If you do this, you can control who gets to follow you and who doesn't. However this also means that none of your tweets will be public, so people will have to follow you first (and you will have to accept them) before they can see your tweets. You can block a person you don't like. Just go to their profile and click the block link in the sidebar."
28,"You can protect your tweets if the side effects are acceptable to you. This way you will receive an email anytime someone wants to follow you. On the account screen for the settings page, check the box that says ""Protect my Tweets"", just be aware of the caveats which are as follows (text from the settings page when you are actively protecting your tweets): Your tweets are currently protected; only those you approve will receive your tweets. Your future tweets will not be available publicly. Tweets posted previously may still be publicly visible in some places. I did this recently, it's been much nicer I think."
29,"Mouse over the update and you should see a Hide button. Click it, and you should be given a choice between hiding your friend or hiding Mafia Wars. Click ""Hide Mafia Wars""."
31,"You can open the game at http://apps.facebook.com/inthemafia/ . Find the ""Block Application"" link and follow the instructions. Further updates from Mafia Wars will not be seen on your account. If you're interested in just blocking a particular user's updates, you can block the person by visiting their profile and doing the same thing on that page, however you will effectively be blocking ALL of their updates and not just their Mafia Wars updates."
32,"You could block them, as described here.  If the account is definitely a spammer, I guess Report JaneDoe as spam would work too."
33,How do I get the phone numbers of my Facebook Friends?. There was a time that somehow Facebook synced to my phone and that was great but I did not want all of them. How can I manually select the Facebook numbers and then export it to my phone via Contacts or Microsoft Exchange ? Where is this option ?
35,Twitter has an advanced search form that you can use.
36,"In wordpress admin go to Tools → Import → Blogger. For WordPress versions 2.0.2 to 2.6.5, go to Manage → Import → Blogger. Or go to http://code.google.com/p/google-blog-converters-appengine/"
37,"I am using Wordpress 3.0 so I am not sure if this applies to previous versions of WP or not. In the WP admin, go to Tools > Import. Then you'll see a list of import tools you can install and use."
38,"How do I let other people view my photos I’ve uploaded to Photobucket?. I've created an album and uploaded a load of photos to Photobucket, but when I send the link to my friends all they see is a login screen. I've searched but I can't find the option to make the album publicly visible. I don't want to make all the images public, just the ones in one particular album. It would be great if I could limit the viewers to a few people - is this at all possible?"
39,"If you can remember what the site was about or a word or two from the tweet, twitter has an advanced search which allows you to specify a user's tweets to search"
40,"Go to the application's page and select ""Block Application"" and confirm."
42,"What is the bandwidth limit for Google Drive file uploads?. The Google Drive help states that one's storage quota ""includes plenty of bandwidth for ordinary use"". In practice, about how much does this amount to? Is Google Drive suitable for hosting for public downloads, or is the bandwidth limit likely to kick in fairly quickly?"
43,There was an answer to the same question on superuser.com that you can reference. Jonathan Sampson 's answer from that (now deleted) post: http://search.twitter.com from:username tax Or use Google: site:twitter.com/username tax
44,Google has a tool to help you with this called Google Calendar Sync http://www.google.com/support/calendar/bin/answer.py?answer=89955
