id,text
1,Should I include a career objective on my resume?. These usually are overly vague and don't add much. Are there circumstance when these are worthwhile?
2,"How do I take a vacation when I'm wearing too many hats?. I've been at my current job for a little over two years, during which I've not taken a vacation or used much of my paid time off. I know that if I do, odds are I'll end up getting phone calls or emails for important issues that only I am able to resolve. I'm unfortunately involved in most operations and IT matters to some degree, as it's a small company. Of course, a common suggestion is to find another job, but that's neither desired nor realistic. How can I manage to get away from the office for awhile in a situation like this? Edit : We now have another IT employee with whom I've been focusing on knowledge transfer, so there's redundancy on a majority of daily tasks. Taking a vacation in a week where I can reasonably expect few interruptions."
3,"The problem with CV objectives isn't just that they can be too vague; they can also be too specific. Objectives tend to either be so broad as to be useless, or so specific that you're shoehorning yourself out of the job. It's for these reasons that objectives are usually frowned upon.  There may be an odd edge case though where they actually add value."
4,"The problem I have with ""Objective"" is it talks about what you want.  Well, as a hiring manager, given that you're a complete stranger, I don't care what you want - I want what I want! The flip side is that it at least gives me some insight into whether or not you'd be a good match for the position I have to offer."
5,"How could I maintain a flex agreement when my boss moves on?. When I hired with the company I'm with right now, I negotiated a flex agreement, saying that every other Friday I'd have off. I have the email in which that was agreed to, and everybody's been happy with the agreement. On Thursday, however, the boss with whom I negotiated that arrangement was let go. Because I've done a really good job, the old boss' supervisor would like to promote me to my old boss' slot. One problem, he says, however is that he's a little concerned about how I seem to be working from home ""a lot."" Upon hearing of the arrangement, he now ""understands,"" but isn't sure if he can promote me under the current arrangement.  What would be the best way to try to keep this flexible arrangement but still get promoted?"
6,"Is it better to invest energy in curating an online resume (LinkedIn, StackOverflow Careers) or a Word document?. Not that you can't do both, but which has the bigger bang for the buck?  Will there come a time when we don't send resumes around, just hyperlinks to online profiles such as LinkedIn?"
7,"I had the same issues as you.  I started with a small startup where I was the only person who was incharge of the servers/code/development and so on.  I was headed to Mexico for a trip and of course would not be available.  What I did which worked for our company was I found someone who could handle things with the server in case anything went down.  This person was ""hired"" as a emergency person while I was out. I would suggest talking to the company and let them know that you need to take a vacation before getting burnt out of work and suggest that you bring in someone for a temporary emergency contact that can handle things like this. Doing this would also give your company a point of backup in case something would happen to you.  This way there is not one point of failure for something like this"
8,"If there is absolutely no back up for you, arrange to be contactable at certain times during the holiday or even certain times each day. Answer the phone then and only then - if necessary take two phones/sim cards so you can make and receive personal calls/texts outside these times. This will give you the break you need and your employer the comfort they need that you are still available for support. I would guess that most problems won't be so urgent that they can't wait until the next ""contact time"". A better alternative is to train a few people within the organisation to do parts of your job. This way you spread the load and also, more importantly, the knowledge."
9,Cross training is critical.  You can get buy-in from your boss by explaining how he currently has a single point of failure in the systems you support.
10,"Is loyalty (depth) or diverse experience (breadth) more important to a hiring manager?. From a long-term goal setting and ""hireability"" perspective, is it more valuable to have gained significant experience in one company or to have a diverse portfolio of companies and hats on your resume? Basically, should I be constantly on the move to different companies to gain a breadth of knowledge or focus on one company for depth in a specific methodology (not necessarily one specific skill, just one way of doing a specific hat)?"
12,"The only time that I included an objective was when I was looking for internships and co-ops. The university that I went to had requirements for co-ops, which could either be 3 months or 6 months in duration. I included an objective on my resume to make it obvious that I had met my requirements for starting a co-op, the start quarter I was interested in, the duration I wanted, and what aspects I was most interested in. When I was applying for full-time positions, I removed it. It became too difficult to concisely describe what I was looking for in a meaningful manner. What I was looking for in a job is something that we can discuss when talking at some kind of job fair, a phone screen, or even an interview. At this point, I used my resume to highlight my education, experience, and other qualifications and everything else would come out later."
13,"Most businesses have an off season, so take your vacation then. Ask to be contacted by e-mail, and only your boss can call you for actual emergencies (or a single person who has the capacity to judge if it truly is an emergency (server meltdown) or, as would very often happen, not one (lost files, lost e-mails, etc). Take your e-mails every other day, announce that's how you will work."
14,"Basically, should I be constantly on the move to different companies NO. The idea of moving around a lot to get some diverse experience may sound like a good idea, but I've personally seen at least one candidate get rejected for the explicit reason that he hadn't stayed at one job for more than a year. Ideally, try to find a good job that'll give you a good breadth of technical experience.  If the job turns out to be a stinker, then by all means move on.  Just don't think you'll ever be doing yourself a favor by frequently moving from job to job."
15,"Remember that in a work-at-home situation, the onus is on you to demonstrate value.  One technique that some of my co-workers use is to send an email at the beginning of the day, describing their plan for the day, and at the end of the day, outlining what they accomplished. Err on the side of overcommunicating when you're working at home.  Give them no reason at all to be suspicious."
16,You should take care of both variants; the LinkedIn profile matters for many recruiters. I think the on-line profiles will be more powerful in the future than the actual CVs are. Also having a website to show off your awesome work is a very big plus as more and more new companies are interested in this kind of way to evaluate candidates. Some of them will recruit this way only :)
17,"The big problem I see is that your career goal doesn't match with what the prospective employer wants - especially if you want to be CEO of your own company within 5 years (say). There's a lot of things unsaid when recruiting. The employer wants someone to ""just do the job"". What you want is career progression, training and a paycheck at the end of each month."
18,"When should I bring up pay rate when scouting a job opportunity?. When looking for job opportunities, when should one pop the question about approximate salary? I don't want to waste their time and mine by going through a whole process and finding out we don't agree on salary, but I've noticed a great deal of companies don't offer up salary figures. When should I ask what the approximate salary is for a position I'm interested in? In the screening call? Do I have to wait for an interview?"
19,"It's tough, but there are several things to consider. Often we think no one else can do what we do. If this is actually the case, then you (and the organization you work for) are in a bad place. What if you quit? What if you were injured/sick/long-term disabled? In the vast majority of cases, things aren't as serious as we might think. In order to get out from under the ""I can't leave because I have too many things to do"" problem, you have to systematically train others to either take over additional work, or at the very least train a backup person/team who can manage things in your absence. Even if it just starts with a long weekend vacation (where the worst thing that can happen is only what's possible in 24 hours), you need to build redundancy under you. Identify why you can't leave. What is it about your role that makes it so difficult for you to go anywhere? Is it because you literally hold the key to some lock box that cannot be accessed without you being there? Is it because key decisions can't be made without your approval? Is it because you're an expert at some key part of your job/office management that  no one else is qualified or trained to handle? All of these situations have solutions: give someone else you trust the key while you're gone, give someone temporary decision-making power, train people around you to handle what comes up and give them your cell number in case something blows up. Lastly, just try taking a vacation. You'll find a mix of things that come up, some of which aren't actually emergencies, some of which are. You need to get comfortable with the following things: taking the occasional phone call on vacation, trusting people to handle it (and not letting them get away with just calling you and dumping it on you), and not leaving your cell phone on all the time. Let things roll to voicemail, and check it only once every couple of hours or so. You'll probably need to work up to the point where you can do this comfortably, but most people find that they've either made insufficient plans for their absence, or they don't trust people around them, or a combination of both."
20,"They both have their strengths, and both are necessary. Your LinkedIn Profile can be a general overview of your career, while your resume can be tailored to specific experience relevant to a position.  Your LinkedIn Profile also shows off recommendations as well as other interests that you may have, while a resume wouldn't."
21,What is the best course of action when someone is performing sub-par in your team?. I have been in a couple situations where a member of our group pulls a lot less weight than the rest of us. Usually the manager doesn't realize. However after seeing people like that get credit for something they really did quite little to merit it. It is hard not to act on it. Should you approach the person first (is it possible they don't know they are not doing anything)? Would it be considered childish to tell a manager you do not think the person is performing at par with the team?
22,"Less than a year at a job is a Bad Thing if it happens more than once or twice.  On the other hand, doing what I've done and staying at one place for 9 years is also sub-optimum for a lot of companies. No hiring function in the US places any value on 'loyalty' any more. But really, it's your life, and life is very short.  If you are happy in a position then you should stay until there is a good reason to leave.  If you are unhappy, life is too short to stay just because some hypothetical person in the future might wonder why you didn't stay longer. Don't let the next job tail wag the dog of the job you are in."
23,"I think it's becoming much more prevalent that recruiters are starting to rely on online profiles - they're starting to realize that the second you send over a Word document to them, it starts to get stale and 6 months to a year down the road, it's good for historical reference, but might not be relevant to current postings."
24,"I don't want to waste their time and mine by going through a whole process and finding out we don't agree on salary I don't think there's any way around it.  Some jobs will give a salary range in the description, and some won't.  But virtually all of them will be offended by you wanting to talk salary before they've even decided on whether to hire you. It's inefficient, but it's just the way it is."
25,"Will there come a time when we don't send resumes around, just hyperlinks to online profiles such as LinkedIn? This is hard to say, and I think depends on your type of work. For those whose job type involves a lot of online, searchable portfolios, having an online presence is far more impressive. Resumés are, after all, mostly formulaic with a list of achievements that don't highlight your individual skillset. Allowing an employer to see your work and as such review how you do the job before you get there will go an awfully long way to getting employed. That said, some, indeed many types of job, do not have such portfolios. I still think online networking is important for many types of career, but I wonder if simply providing a link will work. Smaller companies with less IT literate staff, including directors, for example, might well not be able to parse that. In addition, I always think it looks bad to just say ""hello, here's my url"". As such, I've personally mixed the two approaches - a paper (well, PDF) CV which acts as a traditional CV but also prominently links my online profiles."
26,"Unfortunately you have to wait until the end, until they're really ready to hire you.  They might not be willing to disclose the salary until you get through the process (since you might well be starting at a higher rate than people who already work there)."
27,"How do I ask my boss to pay for an expense?. I'm possibly going to get an internship at a company this summer, and since its a unpaid internship, I have no real way of paying for a bus pass to get to work every day. Is there a way to politely bring up the subject?"
28,"I find that the online profiles are (1) more and more commonly used, and (2) are way more flexible and more likely to be up-to-date. From a functional standpoint, recruiters and potential employers want to get a profile of you, and what you've worked on. Keeping the online version up-to-date (and making sure that it's publicly accessible, so recruiters won't have any trouble accessing it). I spend zero time keeping my paper-based resume up-to-date. If someone needs a physical copy of it (e.g. for an interview), I will create one for them at the time the interview is going to happen, and not before. I've completely moved to managing my experience, portfolio, and work experience online."
29,"Does my geographic location matter when requesting a salary?. I currently work in a state where my salary is quite comfortable and the Cost of Living Index is quite low. However, if I move to another state, especially anywhere Silicon Valley, I'll need about twice the pay to have the same comfort level. Are hiring managers respectful and knowledgeable of this situation, or do they equate making $40K in the Midwest US with being worth that much everywhere else?"
30,"The answer is ""it depends"". It will probably be a red flag to a hiring manager if you have lots of short term jobs (unless the nature of your industry means that short term contracts are the norm). The last thing they want to do is have to train your replacement in 6 months time. However, it might also be a red flag if you've stayed in one job for 10+ years (say). They might think that you don't show any drive or desire to ""get on"" and that might be just what they are looking for. Having had several jobs will widen your experience which is a good thing."
31,"Bear in mind that the manager may well know exactly what's going on.  Just because you don't see what's happening doesn't mean nothing is happening. What I'm saying is that just because the person wasn't fired yesterday doesn't mean your boss doesn't know what's going on. Maybe the guy is on a Performance Improvement Plan. Maybe they're trying to ease him out or into another position. But don't assume that because you can't see action, nothing is happening Does your review process not include getting feedback from peers? If everyone shares your opinion, this will come out.  It just might take longer than you'd like."
32,"This depends a lot on how you normally find work. I obtain most of my work (both full time and consulting) through referrals. Referrals eliminate the need to keep up a LinkedIn or SO Careers portfolio. Because they tend to be local I also get face time along with good support from whomever made the introduction. Do you like dealing with recruiters? You'll probably love LinkedIn. Non-stop hammer on the inbox for anyone who actually has a skill set listed on their profile page. In short, having a LinkedIn or other online resume / portfolio can't hurt you, but it's something that you should keep up-to-date if you rely on it for any work."
33,"Most objectives are just HR babble-speak 'dynamic fast-paced exciting blah blah blah'. On the other hand, if I am looking for  a C++/Boost developer, and I see a resume that says ""Objective: A position as a C++/Boost developer"" that's very interesting to me. So if you have a specific type of job in mind and really aren't interested in much else, then put your specific objectives on the resume. If you don't have real specific ideas about what kind of job you want next, just leave off the objective."
34,"How do I maintain a work-life balance when company culture tends towards frequent overtime?. I usually don't mind working overtime (no additional compensation) because I enjoy my work. However, it does eventually grate on me. I've enjoyed a minimum of overtime in the past few months but know it's going to be picking up again soon. When everyone else works over without complaint, how can I decline to without looking like I'm slacking?"
35,"That's pretty typical for managerial or supervisor positions.  It's not as big of a deal for normal developers or even lead positions, but once there's an HR component involved (you do reviews, hiring / firing decisions, etc), you're going to lose a lot of flexibility from your schedule (outside of normal PTO type situations).  At least, that's the status quo I've seen in the market over the past decade or so."
36,"The best thing to do is just ask.  If there are other interns there ask around and see if anyone else has the same issue of needing to get a bus pass from the company.  If there are no others that you can find, ask to meet with the boss in an informal meeting and just bring up that you wanted to know if there were any ways for the company to help you out by getting a bus pass.  Just be careful about doing this and make sure that having transportation was not part of the requirements for the job. Also if you do get a ""no"" from them.  Drop the question completely. pushing for something like this after a no was already given could create tension between you and your boss and if the internship has a chance of being turned into a full time job, it could put a negative mark on your notes."
37,"Getting a high-quality new hire in a competitive hiring environment. I am on a small software development team in a fairly small company. We are in a larger metro area (about three million people), but nowhere near Silicon Valley. I am not in charge of the search, though my boss (who is) clearly listens to my input. We have a full-time vacancy, and we are having difficulty filling it. In this metro area, most developer hiring appears to be through recruiting firms. However, none of the firms we have engaged have brought us the right candidate, and in general they are bringing us too few candidates anyway. We have considered using Stack Overflow Careers , but right now, there are too few active profiles in our area to justify the (admittedly modest) expenditure. I have asked my ""social network"" without success. I am very interested in getting this position filled by someone who will do a good job because, frankly, we're swamped. What else can I do to help get someone good for this position?"
38,"Make it painfully clear to any hiring manager that the 40K you make is in a very low cost-of-living area.  To really drive the point home possibly mention the rent you pay. Or better yet, don't mention you're current salary at all; it shouldn't be relevant.  The hiring manager should be asking you what target salary you're looking for, and that should be that. Regardless though, if they're working in Silicon Valley, then they should certainly know that salaries are going to be higher than they are in the Midwest."
39,"Can I pursue romantic relations with a client if our project is completed?. A friend of mine works as a management consultant. On a previous project she was working closely with a Fortune 500 client's team. One of the team members and her had chemistry, but they maintained professional standards and didn't act on their feelings for the duration of the project. The project wrapped up, and she was assigned to a new project with a different work group, in a different industry. Is it unprofessional and/or unethical for her to pursue this relationship at this time? Would it prove problematic given that the other person was technically a former client?"
40,"The promotion is a new role with new terms and conditions. You need to discuss with your new boss whether it's practicable for you to be out of the office every other Friday. You can't assume that your current arrangement will carry over. If you don't take the promotion you should be able to keep the current arrangement - your contract hasn't changed just because your boss has, and you have it in writing. Well assuming that your company treats e-mails as equivalent to letters and someone else (preferably in HR) was copied into the e-mail."
41,"In my experience, hiring managers are acutely aware of this.  When recruiting from out of state, hiring managers and recruiters in an expensive area will be prepared for this topic to come up. Worth Essentially, ""worth"" is defined by the success or failure of their previous recruiting efforts: If a business can get good employees in your field from your area for $40K, then they'd probably still consider your worth to be similar, no matter what you think. If a business has only had success getting employees to move from your area to theirs at a minimum of $60K, then your worth is probably more like that. In the end, the maximum worth is going to be what they can get similar-level employees for in their own area (or else they wouldn't be looking). Specifically speaking, hiring managers in Silicon Valley know it's expensive to live there and salaries are, on average, higher than many other areas to account for it. Your responsibility That being said, the recruiter is not going to just give away money that they don't feel they need to, as with any negotiation. They will be prepared to have the discussion — if you say you currently make $40K in a cheaper area, they'll be prepared to hear that you need a significant ""cost of living increase"" — but you must be prepared to ask and hold up your end of the negotation with real numbers. You should know your relative worth in your area Are you on the low, middle, or high-end of the pay scale? If you are considering a new job, can you justify moving up the ladder in addition to a cost-of-living increase? Some areas pay more (relative to that area's broader average salary) for certain jobs due to demand.  Are you in high-demand or low-demand in your area? You should have a good idea of the relative cost of living of the new area You can find out relative salary differences by searching for your job title in the Bay Area on glassdoor.com or on a salary comparison tool like indeed.com - Silicon Valley vs. Nebraska (Nebraska is for example of ""Midwest""). It's still a negotiation For your own sake, you should be in the drivers seat of any salary negotiation discussions. You should be aware of the cost-of-living differences, the demand for your position in the new area, and you should be prepared to cite numbers and justify them when asked (and potentially without being asked, to avoid wasting their time or yours)."
42,"How far out are you going in your search?  You might try increasing your range to up to 50 miles (or further, depending on how far you're currently looking).  Depending on how the traffic and commuting situation is in your area you can draw people from further away.  At my workplace we've got employees coming in from up to two hours away (120 miles)."
43,"How can I tell which job requirements matter in software offerings?. Tech job offerings are plagued with over reaching and unrealistic job/experience requirements. They want college grads to have 5 years of experience, list multiple extremely specific technologies they use which no one would have as a normal skill set, or require deep experience with emerging technologies. These requirements sound like someone rattled off the software/skills of a previous employee with no concept of what was important about those skills. For example, when asking for 10 years of Oracle SQL experience what they probably really need is someone with deep SQL knowledge and experience using databases in an enterprise setting. I always see these specific requirements on the job offer but once I get down to it I find most companies want skills, not technical knowledge in a specific brand of technology, language, etc. How can I figure out what they really need when I'm interviewing/being screened? How can I probe without making it look like I'm unqualified, communicating that I have what they really need, just not the exact flavor of expertise on the offer?"
44,"This also gets to a matter involving negotiations. If your position is changing, often the expectations will change with it, even if the supervisor wasn't also changing. Also, engage the supervision in a discussion about why he was initially concerned about when you work at home. Dig deep, ask questions, and don't be defensive in case the answers you start to get back aren't what you want/expect. You'll often find that these kinds of things come down to various ways that people approach work, and how they approach supervision of others. To some extent, this will come down to the new supervisor's management style, and there may not be a ton that you can do about it - this may be the ""new way"" that things will operate. On the other hand, you might find that your questions lead to the underlying issues (the supervisor doesn't know how to measure productivity/effort unless they can physically see you, or maybe they feel communication is more effective in person, etc.) which will tell you what you'll need to do in order to satisfy the underlying concerns and potential fears. Clearly, if you've done a good job, and are in the running for this promotion, then you're capable. With any negotiation, you're spending a certain amount of political capital (whether or not you actively engage in politics) on trying to get what you want, so just be aware of that. Maybe the tradeoff is worth it, maybe it isn't."
47,"How best to indicate that I've been the ""go-to person"" on a resume. For the past 7 years or so, wherever I work, I end up becoming ""the guy everyone goes to ask technical and programming questions"". Because of that, I'm always ""promoted"" (sometimes formally, sometimes informally) to technical lead. How would you describe that trait in a resume? How would you describe this succinctly, and without sounding pretentious or snob? Is that even something you should put in your resume?
BTW, here are the terms I though of: Internal Technical Consultant Internal Tech Guru (that's kind of snob, actually) Main point of contact for technical questions (does that even achieve what I'm trying to tell the reader?)"
48,"Usually, you can get at least a yes or no from the hiring manager (or internal recruiter) as to whether the salary is going to be in the range you're envisioning.  Make sure that you give a range (and pad it a bit) to make sure that the position you're interviewing for will pay what you're looking for. As an alternative, you might consider asking what the salary range is of the position that you're interviewing for.  That'll at least give you an idea where your desired salary falls, so you know how much mobility you'll have in that position.  That may prompt other questions about how long before promotions, merit / COLA raises, etc."
50,"What is a resume / CV? A resume, or CV, is a written summary of your:
 - education
 - work experience
 - credentials
 - accomplishments A resume / CV is used to apply for jobs. What questions should have this tag? This tag applies to questions about: writing resumes and CV's what skills and experience to demonstrate on a CV or resume how to best present ones skill set on a CV or resume suggested 'best practices' for writing CV's or resumes"
51,Questions relating to resumes and curriculum vitae (CV).
52,"Can I trust employers that make the first move?. I've had several companies make offers to me based on my resume and online presence. At first glance, they're a very mixed bag; some very exciting offers from good looking companies and some that feel like lame cold calls. When I am contacted by an employer unsolicited, should I assume they are likely cold-calling a large range of people? For obvious reasons I only want to continue the conversation with employers actually interested in me and my skills. How can I tell when an unsolicited offer is backed by real interest instead of blind reaching?"
53,"This tag applies to questions about phone screenings, interviews, entry tests, background checks or other situations of this ilk. It also applies to questions about the paperwork and other agreements between employee and employer during the hiring-process."
54,Questions relating to the employment process for a new employee.
55,"Salary is fixed cash compensation paid to an employee in exchange for work, and is frequently the largest component of total compensation. It is a distinct and separate form of compensation from wages, bonuses, equity, and benefits. The salary offered by an employer, or demanded by an employee, is affected by a number of contributing considerations: Other forms of compensation offered or demanded in addition to salary Availability of individuals capable and willing to perform the needed work Quantity of employers seeking individuals for similar work Any risks, hardships, or safety concerns associated with completing the work Reputation of the employer and employee Policies of the employer Local regulations Issues relevant to salary Almost all employers, and many employees, will encounter questions about salary compensation. Relevant discussions on The Workplace include: Negotiating an initial salary, either as employer or employee, for a new job Negotiating, or making the decision to negotiate, increases to salary at a current job Comparing alternatives to salary compensation Discussing programs or policies that seek to make salaries transparent or secret within an organization Understanding and discussing employer policies that seek to level salaries across the organization You should consider using a different tag if your question is about: Bonuses (use bonus ) Equity compensation (use equity ) Benefits like health insurance or paid vacation (use benefits ) Other forms of compensation like hourly wages or piece wages (use compensation ) Related tags compensation benefits bonus equity leave vacation Outside resources U.S. Bureau of Labor Statistics - The BLS makes detailed employment information, including salary statistics, available online Glassdoor , Indeed , LinkedIn Salary - These online tools allow you to look up and compare salary information of many companies"
56,"For questions about fixed monetary compensation, distinct from hourly wages, piece wages, bonuses, and non-cash compensation."
57,"How can I find a better work-life balance in an internet company which is ""always on""?. As a community manager for a large internet company, I find myself often working what most would consider too many hours a day. Indeed, several of my friends have linked me to videos such as this one , and others have encouraged me to find a better work-life balance. However, I have trouble pulling myself away from my work. For one, I enjoy what I do. For another, our site is 24/7/365, meaning our users don't stop using our sites. In fact, a former executive at our company told me this rather directly, though in reference to a different situation. I've taken some steps, such as creating barriers for myself. I do not log onto the sites from some of my personal devices, such as my tablet computer, or my personal laptop. I also don't take my work laptop home during the week. I worry that this isn't enough, and that my friends are finding my increasingly unable to do fun things....and are finding me boring -- I feel like I probably talk/complain about work too much. I ask because I feel, to a degree, the demands of my position are starting to affect my personal life. How can I find a better work-life balance? Am I on the right track by setting up barriers for myself? How can my employer help me find this balance?"
58,"I actually picked up some absolutely amazing contract work from a cold-call.  The individual came across my Stack Overflow profile, saw I had the skills necessary, and the rest is history. And of course there's plenty of spammers out there.  If the email seems legit, then by all means reply."
59,"I've used ""resident expert"" for this very purpose, along with some responsibility language along the lines of ""consulted with colleagues on an as-needed basis."" To make this really sing, include an accomplishment line that points to results that came from the company having you in this role, e.g. ""Avoided hundreds of bugs in the design phase by providing guidance to colleagues who were working on [...]""."
60,"The first thing that came to my mind was Technical Consultant.  Adding Guru to a resume in my opinion would make me toss out a resume pretty quick.  Makes me think the person may be full of himself and a ""i know everything"" kind of person"
61,"Why not just use Technical Lead?  If it's not a real promotion, just put it in quotes.  Specify that you've acted as the technical resource for the team in your job duties description section."
62,"Ideally you aren't revealing your current salary to hiring managers anyway, but if you have to, then furthermore you should probably be seeking to work for companies who aren't going to bust your salary down as a result of where you live, especially if you are intending to move to work on location. A good employer is not going to lower your salary because of where you come from. They might use your previous salary as a reference frame... and of course you may feel compelled to point out to them what the cost of living index is, etc. I don't work in the valley, but I have to assume that they realize that the valley is $texas compared to many other places."
63,"Part of the answer depends on who the audience of question-askers is: People who are junior to you or subordinates?  ""Mentor"" People who are your peers?  ""Team Lead"" or ""Technical Lead."" People who are running your group, division or company?  ""Senior leader,"" ""Advisor,"" or ""Architect."" And by all means, fortify your reputation as the ""go-to guy"" by pointing to a significant StackOverflow rep (but explain what SO is)."
64,"I like the term ""consultant"", and you can embellish it how you like. ""Guy who is the only one who actually knows what they are doing"" will always sound crass, sadly."
66,"From your description I would say this person is a Leader or Expert in your area. You're a Problem Solver and a Consultant. You'll have to pick a term that meshes well with your area of expertise and your manner of selling yourself. Pick something that sounds authoritative, but not self-inflated. Guru sounds like you're trying too hard, as do many of the ""fun"" titles like ""Ninja"" I've been hearing fly around. I also immediately suspect Neckbeardism when I hear Guru."
67,"It depends on what you do. If you're startup hopping it might not matter so much. Managerial folk, lead developers, and such, people who have serious responsibilities in companies, it may look better for them to stick around longer. If you can rationalize your job history, long or short, then that is the key."
68,"In my experiences, the job posting will list the things that someone hired to the position is likely to come into contact with. Having more experience in those particular areas or with those specific things is, of course, beneficial, but doesn't mean that the candidate who gets the job has all of those skills. When I come across a job posting, I break it down in two ways. First, I identify which of my skills directly lined up with the skills in the job posting. Then, I identify which skills were easily transferrable or relatable to the skills requested in the job posting. When I'm communicating with the company, I make sure to touch on both of these - highlighting past experiences that are directly relevant, but also related technology and emphasized times when I've had to apply knowledge to learn something new."
69,"Wow - lots of great answers... putting a few things together, I'd offer: Determine the expectations of the new position before signing on.  Any promotion is a change in expectations, but the most profound is usually the one from individual contributor to manager.  At that point, you become much more a representative of the organization and its values than you were before, and that is bound to come with expectation changes.  A big question is - does the organization espouse a work-from-home tolerant philosophy?  By creating a supervisor with this work-agreement, they are saying to everyone else ""this is OK"", and the boss may or may not be ready to do that. Find win conditions to staying at home - for example is it possible that you can move all your ""sit alone and think"" work to your day at home, which may allow you to minimize disruptions - often I have suceeded at diverging from my boss' ""norm"" by highlighting how he's getting more bang for the buck from me doing things differently. Be sure that even at home your communication channels are open - if you are hard to reach or perceived as unresponsive, there will be more pushback, as a supervisor must be both easy to reach and responsive. Be aware and engaged in talking through the bosses perceptions of how others in the team may react.  The boss may not be worried about you , per se, but another person on your team.  In which case, you and he may be able to talk through these team issues and find resolutions that don't involve you giving up your work/life balance."
70,"I got my current position at a great company from a ""cold call"".  I had submitted my resume to them ~3 years ago when looking for work and got a call about 6 months ago based on that.  I think as with most things... it depends.  You still need to do the research on a company, regardless of who reached out to whom."
71,"Is it unprofessional and/or unethical for her to pursue this relationship? Would it prove problematic given that the other person was technically a former client? I believe it depends on two factors: Whether there is a likelihood of that client being accepted for new work again. The industry you are in. To explain - whilst on the project, the two individuals will have had equal access to any discussed intellectual property and sensitive material. If that's the only project undertaking, then I cannot see an issue. However, it gets technical if for example the company deals in intellectual property belonging to multiple partners and there is a likelihood of the customer being signed up again. In this case, the relationship could be construed as inside information - and discussing work at home might potentially give away other companies' intellectual property. If you're having trouble visualising that, let's take an example. Fred works for a big airline, IFly. He really likes Jill, who works for GoodEngines. IFly contract GoodEngines to make some engines, they do, all done, Fred and Jill start dating and so on. Then, IFly want some more engines making. GreatEngines submit some IP as part of their bid. Fred reviews the bid, but has a stressful day and goes home ranting to Jill about it. Over chicken fajitas, to which he's partial, he accidentally lets slip that GreatEngines are using SuperFuel to Jill. Whoops. Usually, this sort of thing can be managed as with any conflict of interest. I would suggest the following action be taken: What does your contract say about it? Ultimately, it may be a breach of your T&Cs of employment to even engage in the relationship. What do management/HR say about it? I am not suggesting asking permission - however, assuming you are not barred from having said relationship, covering your bases by raising a potential conflict of interest would be a legitimate thing to talk to HR about. Of course, this assumes a specific problematic scenario with which I have some experience (not necessarily romantic experience, however). Clearly, if it's just a paper order from your local stationary supplier, that's a bit different!"
72,"Don't dismiss it out of hand - dig in to each one.  If you just ask the question, ""What about my profile made you think we were a good fit?"" the spammers won't have have the time or energy to respond and you can start filtering right there."
73,"There's no substitute for asking the right questions of any potential employer, regardless of who initiates contact. I don't think it's a matter of trust - it's a matter of feeling them out and making sure it's a good fit, regardless. I don't think there's anything inherently untrustworthy about it. Maybe your skills are in high demand. Maybe they are calling lots of people - the fit is what should matter."
75,Questions relating to particular abilities or expertise.
76,"I know that this may not be immediately useful to you in your current search, but Manager Tools strongly recommends maintaining a ""bench"" of people you know whom you may want to hire in the future and informally learning whatever relevant you can about them ahead of time. Then, when you have an opening, you can go right to the people on your bench who you think are particularly relevant. That you already have a relationship with them will make them much more likely to seriously consider applying."
77,"Proceed, but with caution.  Be discreet for a few months, since it may come to naught.  But if your friend sees a future with this person after 3-6 months, she should make a disclosure to her HR department.  It's a formality, but an important one, since both people might be asked have to waive certain rights to sue."
78,"You need to find things that replace the satisfaction and stimulation you get from whatever you are doing at work. From my point of view, as someone who used to spend a lot of weekends programming, it was mostly because I didn't have anything else I liked doing more than I enjoyed programming... and as a result I would burn myself out severely on it, and yes, even become unbearable to other people. If doing your work is highest on your activity chart then I think it could suggest that you need to keep hunting for other activities until you find one that really strikes a chord with you. And it sounds like that might be something you haven't tried yet. I would recommend something that involves being inconvenient to an electrical socket or cell phone tower."
79,"A good balance is one that involves you Leaving Work Problems at Work and Personal Problems at Home as much as possible per the agreed upon terms of employment. I am single handedly responsible for 24/7 x 365 uptime on multiple web applications where I work so clearly this is not possible all the time, but the general rule of thumb for me is that if: It cannot wait until tomorrow System outage that requires your immediate intervention Required of you to address from home immediately per the terms of your employment. then it is something you should do from home.  Otherwise put your laptop away and go out to dinner with friends!"
